Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA,Signal,Position,Holdings,Cash,Total,Returns
2020-01-02,227.5099945068359,228.38999938964844,226.7100067138672,228.38999938964844,228.38999938964844,3764000,228.38999938964844,228.38999938964844,0,0.0,0.0,100000.0,100000.0,
2020-01-03,225.69000244140625,227.42999267578125,225.47999572753903,226.17999267578125,226.17999267578125,3023900,227.28499603271484,227.28499603271484,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-06,224.9900054931641,227.1300048828125,224.6999969482422,226.9900054931641,226.9900054931641,4263000,227.1866658528646,227.1866658528646,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-07,227.2599945068359,227.2599945068359,225.44000244140625,225.9199981689453,225.9199981689453,3517000,226.86999893188477,226.86999893188477,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-08,226.02999877929688,227.83999633789065,225.8699951171875,225.9900054931641,225.9900054931641,3780300,226.69400024414065,226.69400024414065,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-09,226.9199981689453,228.8500061035156,226.9199981689453,228.6499938964844,228.6499938964844,3497300,227.0199991861979,227.0199991861979,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-10,228.5,228.52999877929688,226.58999633789065,226.6199951171875,226.6199951171875,2572900,226.96285574776783,226.96285574776783,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-13,227.0500030517578,228.47000122070312,226.1300048828125,228.4499969482422,228.4499969482422,3286700,227.14874839782715,227.14874839782715,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-14,227.8500061035156,228.38999938964844,226.8800048828125,227.1699981689453,227.1699981689453,3355400,227.15110948350696,227.15110948350696,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-15,226.8000030517578,228.63999938964844,226.77999877929688,228.3500061035156,228.3500061035156,2662500,227.2709991455078,227.2709991455078,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-16,229.33999633789065,230.02999877929688,228.52000427246097,229.72999572753903,229.72999572753903,3036400,227.49454428932884,227.49454428932884,0,0.0,0.0,100000.0,100000.0,0.0
2020-01-17,230.1300048828125,231.61000061035156,229.5500030517578,230.1999969482422,230.1999969482422,6603800,227.7199986775716,227.7199986775716,0,0.0,0.0,100000.0,100000.0,0.0
